codigo;nome;pop_2018;pop_2019
330010;Angra dos Reis;200407;203785
330015;Aperibé;11612;11759
330020;Araruama;130439;132400
330022;Areal;12471;12572
330023;Armação dos Búzios;33240;33870
330025;Arraial do Cabo;30096;30349
330030;Barra do Piraí;99969;100374
330040;Barra Mansa;183976;184412
330045;Belford Roxo;508614;510906
330050;Bom Jardim;27269;27446
330060;Bom Jesus do Itabapoana;36985;37096
330070;Cabo Frio;222528;226525
330080;Cachoeiras de Macacu;58560;58937
330090;Cambuci;15496;15505
330100;Carapebus;16039;16301
330110;Comendador Levy Gasparian;8544;8561
330093;Campos dos Goytacazes;503424;507548
330115;Cantagalo;20177;20172
330120;Cardoso Moreira;12826;12823
330130;Carmo;18755;18895
330095;Casimiro de Abreu;43295;44184
330140;Conceição de Macabu;23064;23228
330150;Cordeiro;21806;21926
330160;Duas Barras;11454;11492
330170;Duque de Caxias;914383;919596
330180;Engenheiro Paulo de Frontin;13929;14002
330185;Guapimirim;59613;60517
330187;Iguaba Grande;27762;28310
330190;Itaboraí;238695;240592
330200;Itaguaí;125913;133019
330205;Italva;15113;15207
330210;Itaocara;23247;23234
330220;Itaperuna;102626;103224
330225;Itatiaia;31537;31805
330227;Japeri;103960;104768
330230;Laje do Muriaé;7386;7355
330240;Macaé;251631;256672
330245;Macuco;5574;5599
330250;Magé;243657;245071
330260;Mangaratiba;43689;44468
330270;Maricá;157789;161207
330280;Mendes;18578;18614
330285;Mesquita;175620;176103
330290;Miguel Pereira;25493;25538
330300;Miracema;27195;27174
330310;Natividade;15324;15317
330320;Nilópolis;162269;162485
330330;Niterói;511786;513584
330340;Nova Friburgo;190084;190631
330350;Nova Iguaçu;818875;821128
330360;Paracambi;51815;52257
330370;Paraíba do Sul;44045;44285
330380;Paraty;42630;43165
330385;Paty do Alferes;27678;27769
330390;Petrópolis;305687;306191
330395;Pinheiral;24941;25156
330400;Piraí;28999;29277
330410;Porciúncula;18730;18847
330411;Porto Real;19381;19683
330412;Quatis;14165;14302
330414;Queimados;149265;150319
330415;Quissamã;24246;24700
330420;Resende;130334;131341
330430;Rio Bonito;59814;60201
330440;Rio Claro;18451;18529
330450;Rio das Flores;9222;9284
330452;Rio das Ostras;145989;150674
330455;Rio de Janeiro;6688927;6718903
330460;Santa Maria Madalena;10417;10404
330470;Santo Antônio de Pádua;42359;42479
330480;São Francisco de Itabapoana;42201;42205
330475;São Fidélis;38626;38669
330490;São Gonçalo;1077687;1084839
330500;São João da Barra;36138;36102
330510;São João de Meriti;471888;472406
330513;São José de Ubá;7134;7171
330515;São José do Vale do Rio Preto;21670;21795
330520;São Pedro da Aldeia;102846;104476
330530;São Sebastião do Alto;9326;9357
330540;Sapucaia;18205;18228
330550;Saquarema;87704;89170
330555;Seropédica;86743;82312
330560;Silva Jardim;21773;21774
330570;Sumidouro;15577;15623
330575;Tanguá;33870;34309
330580;Teresópolis;180886;182594
330590;Trajano de Moraes;10611;10626
330600;Três Rios;81453;81804
330610;Valença;76163;76523
330615;Varre-Sai;10890;11000
330620;Vassouras;36702;36896
330630;Volta Redonda;271998;273012
